Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,301,346,786,-1.000,-1.000,-1
1,302,360,795,2.147,1.073,-1
1,303,373,800,1.797,0.898,-1
1,304,393,812,3.009,1.504,-65537
1,305,412,826,3.045,1.522,-1
1,306,431,835,2.712,1.356,-1
1,307,443,842,1.792,0.896,-1
1,308,495,849,6.769,3.384,-1
1,309,576,851,10.452,5.226,-1
1,310,615,847,5.057,2.529,-257
1,311,699,807,12.002,6.001,-12292724
1,312,793,740,14.891,7.445,-131073
1,313,833,674,9.956,4.978,-1
1,314,823,654,2.885,1.442,-1
1,315,812,639,2.400,1.200,-11300661
1,316,794,631,2.541,1.271,-1
1,317,794,630,0.129,0.064,-1
1,318,786,627,1.102,0.551,-1
1,319,785,627,0.129,0.064,-1
1,320,773,630,1.596,0.798,-1
1,321,772,630,0.129,0.064,-1
1,322,772,630,0.000,0.000,-1
1,323,770,629,0.288,0.144,-1
1,324,755,642,2.561,1.280,-1
1,325,759,634,1.154,0.577,-131073
1,326,756,628,0.865,0.433,-3
1,327,751,629,0.658,0.329,-1
1,328,731,643,3.149,1.575,-1
1,329,715,649,2.204,1.102,-1
1,330,704,654,1.559,0.779,-1
1,331,692,655,1.553,0.777,-1
1,332,691,655,0.129,0.064,-526345
1,333,690,653,0.288,0.144,-3
1,334,669,659,2.817,1.409,-1
1,335,654,657,1.952,0.976,-262145
1,336,646,649,1.459,0.730,-1
1,337,672,652,3.376,1.688,-66049
1,338,671,652,0.129,0.064,-1
1,339,658,658,1.847,0.923,-8931098
1,340,652,659,0.785,0.392,-1
1,341,642,658,1.296,0.648,-1
1,342,635,655,0.982,0.491,-11310726
1,343,634,654,0.182,0.091,-1245185
1,344,628,649,1.008,0.504,-1
1,345,628,649,0.000,0.000,-1
1,346,627,645,0.532,0.266,-1
1,347,628,643,0.288,0.144,-1
1,348,631,624,2.481,1.241,-1
1,349,633,616,1.064,0.532,-2426625
1,350,632,610,0.785,0.392,-263
1,351,621,604,1.616,0.808,-1
1,352,606,609,2.040,1.020,-1
1,353,603,611,0.465,0.233,-1
1,354,601,613,0.365,0.182,-1
1,355,599,613,0.258,0.129,-1
1,356,597,613,0.258,0.129,-2756609
1,357,572,604,3.428,1.714,-1
1,358,568,606,0.577,0.288,-1
1,359,560,595,1.755,0.877,-1
1,360,545,603,2.193,1.097,-1
1,361,547,602,0.288,0.144,-1
1,362,558,602,1.419,0.710,-1
1,363,560,596,0.816,0.408,-259
1,364,562,590,0.816,0.408,-1
1,365,561,595,0.658,0.329,-131073
1,366,564,593,0.465,0.233,-2
1,367,559,592,0.658,0.329,-259
1,368,541,594,2.336,1.168,-1
1,369,538,599,0.752,0.376,-3
1,370,531,601,0.939,0.470,-1
1,371,527,602,0.532,0.266,-1
1,372,520,601,0.912,0.456,-1
1,373,517,600,0.408,0.204,-1
1,374,514,597,0.547,0.274,-1
1,375,513,596,0.182,0.091,-259
1,376,507,588,1.290,0.645,-1
1,377,503,584,0.730,0.365,-1
1,378,499,581,0.645,0.322,-257
1,379,466,591,4.448,2.224,-1115137
1,380,462,587,0.730,0.365,-1
1,381,462,587,0.000,0.000,-1
1,382,458,582,0.826,0.413,-257
1,383,455,576,0.865,0.433,-1
1,384,451,569,1.040,0.520,-1
1,385,450,565,0.532,0.266,-1
1,386,448,561,0.577,0.288,-131073
1,387,449,554,0.912,0.456,-1
1,388,446,546,1.102,0.551,-1
1,389,443,541,0.752,0.376,-1
1,390,437,536,1.008,0.504,-1
1,391,429,530,1.290,0.645,-1
1,392,422,525,1.110,0.555,-1
1,393,419,521,0.645,0.322,-1
1,394,409,506,2.326,1.163,-1
1,395,396,484,3.296,1.648,-13667162
1,396,377,458,4.154,2.077,-1
1,397,372,450,1.217,0.608,-1
1,398,359,434,2.659,1.330,-1
1,399,350,422,1.935,0.967,-1
1,400,331,408,3.045,1.522,-1
1,401,334,379,3.761,1.880,-8021591
1,402,329,370,1.328,0.664,-257
1,403,326,348,2.864,1.432,-1
1,404,326,327,2.709,1.355,-1
1,405,331,308,2.534,1.267,-458753
1,406,335,297,1.510,0.755,-1
1,407,338,289,1.102,0.551,-1
1,408,348,272,2.544,1.272,-1574145
1,409,360,258,2.379,1.189,-1
1,410,369,254,1.271,0.635,-257
1,411,390,255,2.712,1.356,-1
1,412,406,247,2.308,1.154,-65794
1,413,411,245,0.695,0.347,-1
1,414,456,226,6.301,3.151,-66049
1,415,476,218,2.779,1.389,-1
1,416,491,215,1.973,0.987,-1
